raceId,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,date
529,19.1,,,0.0,,350,4.3,,1018.5,,1992-09-13
530,16.0,,,0.7,,286,11.4,,1017.8,,1992-09-27
531,15.0,,,0.0,,309,17.9,,1010.8,,1992-10-25
532,19.7,,,8.2,,322,28.5,,1002.7,,1992-11-08
533,21.1,,,0.1,,346,6.1,,1016.1,,1993-03-14
535,7.3,,,7.4,,82,17.8,,1001.1,,1993-04-11
534,20.9,,,20.3,,86,6.2,,1014.7,,1993-03-28
536,13.9,,,0.3,,310,5.6,,1012.6,,1993-04-25
538,17.2,,,0.0,,194,4.9,,1018.3,,1993-05-23
539,22.1,,,0.0,,251,10.3,,1020.7,,1993-06-13
542,19.6,,,1.5,,244,20.3,,1007.8,,1993-07-25
544,11.4,,,0.0,,351,6.4,,1027.4,,1993-08-29
545,16.3,,,0.0,,17,4.1,,1006.8,,1993-09-12
543,26.0,,,0.0,,136,10.4,,1019.9,,1993-08-15
514,17.7,,,4.7,,247,15.7,,998.6,,1991-09-29
546,16.1,,,0.0,,360,27.6,,1020.2,,1993-09-26
520,12.4,,,2.1,,31,17.0,,1014.2,,1992-05-03
554,18.9,,,20.0,,173,15.0,,1013.0,,1994-06-12
521,21.9,,,0.0,,201,5.0,,1020.1,,1992-05-17
555,25.5,,,0.1,,299,4.5,,1013.5,,1994-07-03
556,17.4,,,0.0,,211,15.5,,1020.6,,1994-07-10
557,25.1,,,0.0,,191,6.1,,1011.7,,1994-07-31
558,19.0,,,2.9,,301,12.7,,1016.4,,1994-08-14
559,14.2,,,5.2,,257,18.4,,1014.5,,1994-08-28
560,18.3,,,0.0,,27,4.5,,1015.3,,1994-09-11
561,16.0,,,0.3,,247,10.1,,1017.4,,1994-09-25
562,20.1,,,0.0,,249,7.2,,1016.5,,1994-10-16
565,18.3,,,1.5,,138,14.7,,1016.6,,1995-03-26
566,17.0,,,62.7,,174,18.8,,1011.0,,1995-04-09
537,15.4,,,0.0,,70,6.7,,1014.7,,1993-05-09
540,22.0,,,0.0,,54,5.1,,1022.6,,1993-07-04
541,11.1,,,0.7,,276,10.6,,1010.9,,1993-07-11
570,19.8,,,7.3,,192,16.8,,1007.2,,1995-06-11
547,13.2,,,0.0,,317,21.0,,1013.1,,1993-10-24
576,16.3,,,2.4,,56,6.3,,1015.7,,1995-09-10
574,21.3,,,0.0,,151,6.2,,1018.6,,1995-08-13
